Industry,2008-04-30,2008-05-30,2008-06-30,2008-07-31,2008-08-29,2008-09-30,2008-10-31,2008-11-28,2008-12-30,2009-01-30,2009-02-27,2009-03-31,2009-04-30,2009-05-29,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-30,2009-11-30,2009-12-30,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-30,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-29,2012-01-31,2012-02-29,2012-03-30,2012-04-30,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-28,2013-01-31,2013-02-28,2013-03-29,2013-04-30,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-30,2014-01-29,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-30,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-30,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-29,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-28,2018-01-31,2018-02-28,2018-03-30,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-29,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-29,2020-10-30,2020-11-30,2020-12-30,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30
국내주식,39.23703524,44.31381501,47.77294629,42.73396564,40.17150639,35.69495496,25.67893681,21.79517304,22.0147662,18.60554132,21.0605695,26.41019744,31.13089886,39.11371384,47.48255234,48.31387456,50.26455026,52.14623499,49.72265365,50.66908786,51.88806791,49.61107368,48.87284017,50.28520209,49.22078838,51.88379483,55.60389402,52.87329642,52.76698519,52.38841034,49.07842801,53.35730631,55.15588369,52.66742009,54.14535622,51.80598934,51.53046538,54.38107539,54.7930357,52.59797089,50.26447757,47.39834189,43.2905729,43.49343316,44.948898,43.95668987,44.78158352,46.31803629,44.48432076,45.37739052,47.9675275,44.46533914,42.85176319,43.76154993,40.48613223,42.59473134,44.76387972,40.46715575,40.29420594,39.93519211,37.64188094,41.14390606,43.29906513,40.80727194,42.51945468,42.17414179,40.68055132,44.2952269,46.05947955,42.28146485,42.21374046,40.82433759,39.84308478,44.3078194,47.05685842,44.52369995,45.15919428,45.3522943,41.99477544,44.28634797,45.40521242,41.9526909,42.78040851,43.80209734,41.84041184,45.75193392,49.59838046,44.76676592,45.43906669,45.25785628,40.94993582,45.34415717,47.4301825,42.2581305,41.94428653,41.21450661,39.75563192,44.45426255,48.33205289,45.53149813,44.61459555,44.40860215,40.3955288,41.75977654,44.10304275,40.63882064,39.73621681,40.23713042,39.88018955,43.01992718,46.96066063,43.21106985,42.03968865,41.16035553,39.24183924,43.14640868,45.34622522,43.67107547,40.86157936,39.86349232,37.95174625,38.74119518,43.5853007,39.88944907,39.41858618,40.55445081,35.74604011,36.5750668,37.28020648,32.94706158,32.44691902,33.14189738,33.46915774,35.88057727,39.41957255,36.36667037,33.58904502,35.34105323,33.08732262,35.08202857,39.01517956,36.21987952,34.58597334,26.64174627,21.94744977,23.97727273,28.5984252,34.12987763,39.99699271,44.36383929,44.68194695,49.42903752,52.78529439,51.35715761,50.4358655,50.16965584,48.91858383,50.43928385,53.75845719
IT,43.11220025,47.80600462,50.54110806,42.26804124,39.04421326,33.40188518,24.5994345,26.73233696,24.64722484,19.56489346,25.52326457,31.04086353,40.80137872,52.30700314,58.45004669,57.80080599,60.28639618,61.5285806,56.02948095,57.04336815,56.42844783,54.72904746,58.712259,60.98890403,60.98146877,63.62098139,64.82582838,59.7100472,57.11678832,51.48613605,46.43693543,50.74174509,52.82067956,53.33702575,59.35706085,58.37676843,54.98839907,57.55086072,51.25797972,45.71884418,43.75,37.87180561,37.29323308,41.87467272,45.13115343,47.8344872,53.73006345,57.30464326,53.99688958,56.95010982,58.06973665,53.57436319,54.92149758,53.75631313,50,55.28467829,55.44961368,50.33033033,50.60260325,48.293043,48.30692762,55.65290649,57.77166437,55.10204082,57.00203943,54.19445419,50.99025464,53.25262308,53.13028765,47.80593325,49.94515539,49.07866059,50.90939429,56.68001456,56.83041723,53.06380291,50.3077784,49.18541505,45.15203672,49.89191526,52.73477812,54.06100698,58.15602837,59.61538462,57.57460559,59.81367775,60.66532627,54.01425178,54.37867774,53.69333574,51.47993463,56.66936136,57.18722272,50.25035049,50.08391273,49.15065441,45.35104364,55.03112033,55.77689243,54.6837117,60.13636364,56.43382353,51.14235501,54.08064827,54.31158675,53.90683696,59.35430464,60.50255202,60.0201579,63.29395651,65.25381136,60.51574012,60.08485063,59.52641166,54.10829231,59.53967293,59.34309809,54.91051942,55.71169538,51.22972266,45.47537228,47.69864896,49.58639706,46.31884058,50.97768122,50.19522777,47.34042553,48.93274265,43.04921969,37.19008264,38.02593279,38.84976526,41.40316206,48.89434889,48.77878576,46.11087237,48.1932956,48.90238206,46.80511182,49.94375703,51.78791615,50.5075656,51.56353959,44.0700451,35.90225564,35.45096221,37.58604865,43.8108484,51.22889506,55.75910236,58.12513818,62.74043657,64.1893339,60.9639514,59.99142367,57.20413828,53.56386733,54.61538462,55.54929577
건강관리,57.43396226,64.07432897,66.75712347,60.11299435,59.68092821,54.76575121,41.6119403,41.22137405,45.39170507,43.72375175,51.34849286,53.07692308,50.70422535,56.9550931,60.85450346,59.50452596,61.88907194,61.41334829,57.12890625,56.66836995,57.14285714,51.66070516,53.69085174,54.63576159,44.29530201,49.90415335,49.41824862,47.68590744,54.39814815,52.37449118,51.13636364,59.06913073,61.75413372,55.05481121,53.71900826,46.23154623,51.38539043,60.18336608,60.71209331,62.68393172,59.19948354,59.0504451,60.35422343,59.81432361,61.06870229,55.60165975,53.07872175,53.11627907,47.97687861,47.32824427,54.55820477,56.80954965,62.3655914,69.67592593,69.13113869,71.55457552,70.53789731,65.84808681,64.39665472,60.73968706,61.15802171,61.97887715,61.47692308,60,57.9056506,55.92814371,53.40965655,54.41565309,55.92654424,56.8170299,59.01369863,54.53976205,50.27624309,51.49425287,51.20711563,52.42441529,55.80808081,58.85304659,60.46966732,61.34122288,65.37433155,63.09739867,59.09385113,64.05835544,58.24561404,56.63234403,63.23699422,62.95896328,68.85057471,72.01201201,68.87897379,69.96547756,69.86980781,69.58920907,69.37541974,69.41005098,67.68617021,68.35748792,69.29560506,65.99455041,63.9089969,60.93394077,57.54422477,57.37327189,58.83838384,57.04338511,54.81441635,55.81632653,53.71835443,56.16230565,59.01639344,55.04363002,55.94002307,53.16508068,50.53763441,52.68346112,53.04347826,53.28244275,52.25618632,55,53.16045381,54.63041631,62.9969419,58.68544601,55.13748191,53.79229872,43.45945946,41.97730956,48.70825457,50.78299776,54.44964871,59.638135,57.83718104,56.59251221,60,58.02209363,52.55767302,50.90609555,50.44580009,49.13098771,53.42465753,55.44603253,54.45026178,57.28030789,50.63782585,48.91500904,51.54586923,49.92473658,57.00458482,61.70212766,59.34755332,63.82022472,64.03908795,65.19546028,62.70337922,60.67848882,56.25899281,54.01213756,58.52895149
경기소비재,39.10505837,45.13692162,49.81235927,42.22792388,37.82668501,31.97381672,18.76026273,15.96051008,15.65762004,11.50541651,15.39068666,19.62616822,25.11965963,36.20135666,45.38634659,49.69120347,53.40018232,54.15645617,53.81342062,56.20663069,58.68673051,56.64267016,54.81049563,53.03754266,52.75080906,56.86813187,61.70473083,60.41868579,59.52478492,58.76882197,57.34083149,61.87063926,64.68321918,61.69369369,60.43824701,56.69683258,56.85051647,60.82051282,63.71681416,61.82028538,61.41017522,60.0482509,54.1640312,53.95095368,53.68335368,50.69683258,49.44465722,49.2619148,48.31575366,48.16666667,49.1646778,44.53253553,40.85764387,40.05965959,37.53164557,39.95917726,41.56898106,37.1110079,38.98584129,39.86653956,37.37463127,42.94765425,44.7532792,44.26910299,47.88624135,46.71947649,45.69884621,49.73471097,52.23200729,49.83757445,48.95754071,45.66709965,43.45076784,47.38287807,49.90630856,47.77822527,48.78651359,49.14876691,46.2745098,48.20895522,48.63715141,43.98852224,44.46989529,44.69817667,41.75512035,46.11845888,48.33766985,42.14559387,42.23738063,41.63048722,39.85802749,45.8049558,50.75744964,46.75757576,45.5759081,45.72368421,42.75180158,45.10229386,48.95850974,44.97076023,40.71180556,39.85040877,33.80904809,35.39180073,38.29362029,31.54255319,31.04693141,27.69953052,24.92224476,29.23832924,31.62371134,27.70120053,27.6098438,26.42122361,26.78236983,34.90011751,39.58960328,38.68974042,36.21147715,34.06718542,33.00601837,34.15017279,39.41982559,36.37189582,34.98371336,37.98037612,30.30654515,31.29596339,31.76375076,26.38811513,28.30104654,28.61189802,31.56754154,30.18949182,35.24451939,31.58088235,24.39362439,29.2539134,27.30220493,30.04218091,36.71920607,35.46337158,33.57387011,25.08276038,18.41463415,15.12156553,16.72449688,21.88538206,26.2908778,30.49723757,33.95238095,43.02350658,50.47770701,48.25607064,46.802595,45.11599512,44.2217273,48.17892936,53.23299889
금융,22.31054584,27.73419474,31.66666667,27.71403354,27.11621234,18.53997683,5.949895616,-0.649631875,-2.201834862,-2.584318879,-0.483759502,5.57209698,8.83089024,14.9037037,30.4670126,32.8659071,39.53089245,44.80651731,42.74626866,44.00963275,41.64588529,38.23637029,32.68783888,30.05936319,30.63241107,35.17753922,38.95619758,36.38634471,33.86727689,32.3903819,31.90815519,38.99260303,44.17637271,45.3003054,45.95170455,44.20783646,43.81598793,40.20766201,42.87931704,40.95588235,36.82758621,35.75857792,24.30919902,22.02398362,22.77486911,20.63302478,24.00224845,24.58800264,23.56979405,26.06490872,28.77697842,25.28703444,15.93239124,14.04109589,11.96632592,14.79390175,23.09271297,18.784,20.13355593,19.40789474,16.19365609,19.67570939,20.52463665,18.71794872,23.07167235,23.09602649,24.54672245,30.2017863,31.3304721,29.10641453,25.1914242,23.49949135,20.99447514,26.25,32.72090989,32.91834493,38.36833603,38.71117293,36.65620094,38.86594067,39.46634807,34.31334623,29.43632568,23.90608324,22.5388601,31.03174603,37.15517241,33.23604524,37.11383834,32.07359523,30.52894627,34.44312327,31.75983437,27.27954972,25.19269777,22.41735537,26.58436214,32.24781573,33.45275414,33.78111418,31.40569395,32.54310345,34.91921005,34.7826087,35.10638298,30.57692308,21.93140794,18.47995836,26.77224736,33.58033008,43.43434343,47.08041375,48.07831762,44.82758621,42.69230769,40.02165283,38.1590706,35.50987505,30.11782032,24.26229508,31.28205128,34.7047619,39.06093906,37.6911315,28.15680362,27.92706334,28.5329226,26.22886355,30.89598352,25.87951807,20.82429501,17.39130435,21.74984596,28.38250254,30.85173502,35.23537803,30.56603774,29.6534018,27.94846383,21.91721133,24.16756176,21.04247104,16.71415005,9.052333805,8.516336369,8.026249369,12.37042156,23.72697725,29.06091371,36.61538462,41.26794258,44.29708223,47.37620103,46.5003465,41.55427103,39.86332574,49.75636167,52.92919002,58.72594559
산업재,45.67677682,50.99230458,52.76125743,48.91497688,46.58151766,42.19904389,31.80439727,23.82133995,24.71550498,22.01994618,24.69252602,31.20176406,33.60548661,39.62144107,45.46377793,45.97986283,45.86670697,47.05882353,45.00533781,43.58515869,45.67730802,44.15437003,44.31095406,49.98896491,49.47965941,48.88454012,53.10454275,51.72790105,51.57688541,56.30215195,52.40782543,53.85179751,55.09168943,50.2036979,50.10853835,47.80392157,48.61086533,53.41159208,54.47184395,53.94644116,50.78441742,47.17971141,44.64802314,42.51898958,43.92486011,43.34376086,43.30760388,47.15165512,46.01303134,45.77454545,48.41244892,44.74603601,43.04562947,44.71369038,39.60339943,37.43323228,38.40784444,35.45933294,33.12010235,35.6595092,32.10297767,31.12777053,37.34309623,33.31366185,36.29827788,40.20389249,36.85485092,41.6890292,42.62408886,34.67741935,34.16195857,32.34691555,33.15421816,42.07797196,45.52072801,41.69068204,41.67904903,41.98250729,37.65586035,39.1954023,40.33830846,33.05070375,35.15715949,37.02685557,33.6646786,39.92727273,41.36203377,34.95459443,35.32752745,35.64171677,28.53036292,33.44142683,36.19631902,31.87855787,33.34890238,33.31418725,32.91792007,33.55155483,39.88411395,36.37626513,36.71176336,40.72164948,37.33248245,40.17283404,41.18529632,35.37936914,31.96508611,34.23027167,38.87919333,46.05451937,52.34230911,46.66666667,43.93465415,40.86284086,37.88487282,41.62696312,39.7969341,38.873338,33.8374956,30.97261568,33.4370745,34.62911543,41.62764771,35.61995598,35.27227723,35.71428571,31.22661123,36.03565365,36.83173195,31.90782645,32.05607477,31.16999107,31.33147114,32.47011952,35.48917512,29.74614884,24.6747318,25.7085528,22.04049844,24.86317435,29.50855163,26.44080997,26.27556754,19.05675898,13.85876115,17.96927188,22.45301682,28.56821758,35.25247758,38.07312826,38.99552984,42.22573007,45.13325608,46.09749937,47.79823859,51.27955944,49.40027894,50.90518564,53.93939394
소재,33.6886182,42.23263076,49.3957115,51.20207927,50.37800687,48.15642458,36.93752023,24.2318657,18.10973676,13.49292709,14.10433343,20.31615925,28.4901758,37.97927461,47.37979471,51.28320576,54.62920313,57.8209025,55.50280535,53.39896859,54.1487069,50.65229722,50.20667727,51.62002946,49.16452442,51.13858165,55.00476644,54.20721236,56.64206642,58.83520847,55.44995545,60.78654887,60.16283803,57.64816116,59.87345109,58.33093525,57.17691941,58.54488354,57.90891943,54.68871093,53.44975666,47.45870394,38.47420417,38.283307,38.49311052,41.26771864,46.56126482,46.63927209,43.13241107,43.01461778,44.9327818,41.29692833,42.69090909,43.75490966,38.55585831,43.39435923,43.17263668,38.66923819,39.10598819,34.84549638,29.93597951,33.80396416,36.14744352,33.90385099,39.88304094,40.52459016,41.66012045,47.28500147,47.43758213,41.65181224,37.07386364,33.77538334,32.59503143,36.74876847,41.04529617,41.41994826,46.31912645,46.9770935,40.11717545,40.14700735,37.93103448,33.52308665,37.6891842,38.8372093,40.74074074,47.21736087,52.03164329,48.28777883,49.58579882,45.52087556,33.96778917,37.43111488,36.05812897,28.54851644,35.29118965,32.29885057,37.15575621,51.37614679,55.64598169,52.11267606,52.62626263,50.72463768,44.16203336,47.04453441,48.22294023,46.87953556,45.62101911,43.26069411,37.83085862,38.78610841,42.33697451,39.26902995,41.12903226,41.03930713,40.86901763,44.42190669,46.85735792,43.11111111,40.16191482,41.01508916,36.65092626,35.82961182,40.67256637,37.00834327,41.31545338,44.03420132,35.12437811,31.40161725,26.1167002,20.47075606,17.66784452,18.16557475,18.51203501,23.33480371,27.09181366,25.17099863,26.49510692,24.32865731,19.45169713,21.78694158,21.5408805,17.55188181,18.56652688,9.660574413,10.66666667,16.9294037,23.98523985,28.94292469,35.89181287,40.98639456,41.35220126,47.86291875,47.98567592,46.44549763,46.84115523,46.75100633,50.3926097,56.39175258,58.74931432
에너지,28.18371608,31.83673469,33.33333333,33.2197615,29.93348115,33.33333333,27.70137525,23.43470483,26.38230648,22.50639386,21.18380062,32.02614379,38.9133627,54.98489426,59.76676385,48.16687737,40.86538462,40.23255814,36.64122137,45.55873926,49.22048998,44.14414414,52.16138329,53.60824742,59.53757225,66.61316212,67.64295676,65.25096525,67.22689076,70.95435685,66.9250646,71.77033493,71.46144994,67.09090909,70.26239067,66.88453159,65.95744681,66.89342404,64.99416569,53.88291517,47.09976798,38.4863124,33.8150289,46.94894147,49.17787743,48.56396867,50.06242197,46.38554217,43.47826087,45.17647059,44.64534075,39.38730853,41.85228605,44.02035623,48.65181712,56.42201835,57.46971736,49.2704826,43.00518135,41.20667522,38.2642998,38.87775551,37.6344086,39.4352483,41.89814815,44.66936572,44.17238002,44,45.10739857,36.41133263,34.06593407,31.98380567,32.50773994,38.48101266,38.46153846,27.18446602,23.51190476,18.46785226,12.9787234,16.04010025,12.46819338,10.45130641,16.64611591,18.43137255,29.46058091,40.33613445,55.42590432,48.75518672,49.32614555,46.32587859,28.33078101,41.13712375,39.96383363,33.96825397,41.92229039,41.58415842,45.97701149,58.88223553,59.40803383,52.5,52.83842795,49.7382199,50.52264808,53.92670157,54.35992579,54.43425076,55.55555556,59.41422594,59.78695073,62.5974026,59.84555985,47.36842105,43.42723005,38.86693017,47.39517154,58.24742268,58.95061728,59.26966292,47.2972973,44.9704142,41.8699187,39.76311337,45.625,35.97206054,35.95933926,34.5276873,36.85674548,49.19236417,48.13559322,34.44909344,28.50393701,22.92089249,22.23816356,26.33390706,20.93023256,22.62569832,26.08695652,32.97682709,37.43455497,39.73013493,38.34115806,28.42415317,11.69686985,-13.32007952,-17.41935484,-15.46391753,-9.185441941,-4.833836858,0.938086304,11.27819549,5.241935484,19.47368421,24.60732984,24.89270386,34.23913043,41.89189189,40.63157895,47.6635514,55.72139303
유틸리티,59.64391691,46.53465347,43.64640884,41.23006834,32.52427184,29.24791086,17.02898551,10.01890359,8.846153846,9.54954955,2.564102564,3.686635945,2.564102564,-3.777335984,17.4796748,29.52380952,39.21971253,45.59099437,32.70676692,23.1372549,27.46478873,32.98429319,37.79904306,37.67605634,29.91735537,28.83642496,27.06333973,26.05042017,32.58003766,27.88259958,31.04761905,38.21138211,40.40219378,37.52122241,36.68528864,31.09619687,16.54320988,12.91866029,12.35955056,4.985337243,4,8.235294118,9.324758842,14.07407407,22.43902439,26.01431981,28.76712329,41.82825485,41.60583942,30.59033989,27.20848057,21.86046512,20.83333333,25.80645161,26.79738562,30.48433048,33.75594295,31.63120567,34.05909798,31.35888502,22.66666667,21.01740295,15.77574967,13.31521739,7.773386034,5.701078582,9.251101322,16.66666667,24.77876106,27.65957447,36.55172414,40.41811847,38.6962552,35.79335793,29.97118156,29.18395574,27.89115646,30.47775947,34.44108761,29.88650694,27.58132956,19.73333333,8.831168831,1.498127341,6.506849315,16.44042232,27.95497186,29.92,20.90032154,18.18181818,13.13131313,9.574468085,18.32946636,13.85927505,10.33138402,9.146341463,5.882352941,11.19133574,19.66527197,16.76300578,17.64705882,14.13881748,1.59453303,5.210084034,7.142857143,7.722772277,4.693140794,8.02919708,7.172995781,5.124450952,11.41975309,6.741573034,4.659498208,8.148148148,12.11631664,7.254623044,10.33057851,11.11111111,5.857740586,18.0887372,20.83333333,21.93158954,32,27.98264642,22.15053763,20,7.023411371,10.83844581,10.76923077,8.120649652,10.28446389,10.70110701,13.66459627,8.854166667,0.970873786,-1.648351648,-5.504587156,-1.694915254,3.581267218,3.056768559,8.21529745,6.158357771,6.918238994,-12.60504202,-16.73469388,-1.818181818,-0.771208226,18.30985915,12.42937853,8.786610879,7.053941909,11.82795699,21.76656151,26.61870504,26.78571429,32.24489796,31.3304721,28.61356932,26.57342657
커뮤니케이션,30.75125209,33.13069909,33.52333452,29.33789954,25.90815627,25.48209366,22.99872935,24.1943734,29.11138924,23.46741235,24.08083759,27.42148324,30.76557299,39.73799127,45.99888081,43.20457797,41.01712241,41.11479029,42.08416834,46.61902144,49.06003639,48.31526516,42.82951982,42.34792716,41.46179402,44.30628272,49.58825636,46.98055271,48.4375,47.73427189,41.51820294,46.5942029,47.03718839,41.55759162,44.06368986,40.10479645,44.40052701,51.21450564,54.59308418,53.58539765,49.81697171,51.06630477,49.8122226,49.98572652,52.02927478,45.18731988,41.41900937,40.73346431,38.4077461,41.53446034,44.40913031,42.05180295,41.7087846,42.94427502,42.16993464,42.99347062,47.37177445,45.42815675,44,46.6160221,47.25472547,49.9201703,50.80983803,45.55112882,41.16758933,36.42547928,34.90541591,37.89473684,39.90055935,38.5481148,40.51466188,39.82425308,38.97280967,40.22072348,41.58523344,40.44416641,40.73089701,42.45393963,42.92665971,46.86588921,51.23152709,51.26390293,49.85734665,49.26906361,46.85598377,42.41345843,45.96747428,44.98269896,41.9298754,44.76723836,43.95318596,47.34161095,53.89244077,49.32240782,45.99542334,43.93234672,40.14184397,43.3123379,47.02093398,44.6921797,42.6029654,42.76970161,41.82161992,40.99341712,43.17165463,42.13762811,43.76130199,45.44235925,46.61179698,47.041273,47.79075673,47.06821812,42.96127563,41.91795708,41.38414122,43.76528117,50.11235955,49.35492031,46.86623012,47.83458157,41.1010155,38.36175835,39.15492958,37.3993657,35.13379584,38.18672059,35.91628959,38.59263332,46.60056657,43.59127577,39.63935463,38.01816028,36.30397237,38.52016513,46.73178062,46.4261857,46.26467449,48.74371859,47.99789252,47.39691795,50.28838231,45.332002,40.50343249,30.96812989,29.12670369,34.69037926,41.04803493,47.81792586,51.87189896,55.26479751,53.47137637,53.93133998,56.0551124,55.88773642,53.19915891,52.97318305,50.15115888,48.50770745,51.73807599
필수소비재,35.02762431,37.62376238,46.38971316,43.76528117,42.83276451,38.92433911,24.77660439,19.88261189,21.14597544,20.42866711,22.76422764,26.19392185,27.28468113,31.02595797,39.32729625,42.4263194,47.3965287,49.54268293,50,53.40687865,56.87203791,51.45197319,42.88,38.54059609,34.7130762,46.8907563,54.93630573,49.65421853,49.84045948,44.84272129,42.95212766,44.75733972,44.68362688,43.72146119,42.96875,44.69641551,43.94124847,47.00432366,50.69560378,53.64238411,56.27329193,55.82822086,55.69272977,53.78690629,55.49295775,52.00486027,47.7027027,46.05160281,48.03664921,54.86600846,56.91922354,55.77889447,50.40462428,47.71322621,46.59546061,47.40061162,50.03579098,41.93962749,41.28187457,38.17504655,38.91472868,45.41637509,43.46952445,37.49303621,35.12396694,33.21917808,31.82275932,36.37596023,39.8089172,39.88711195,42.66666667,46.23937214,45.38112065,48.62087615,51.01816181,47.6892822,47.00761697,45.22292994,41.9924338,45.41516245,44.65075155,41.48329258,45.51495017,42.91010195,45.68835098,53.85579937,54.89467162,54.41340782,55.12820513,56.25409299,57.31945348,57.32009926,57.83783784,49.89354152,39.97271487,36.61636219,36.72627235,40.28314028,46.24908958,44.63768116,35.4655295,29.89175687,27.44252874,33.14220183,42.82051282,39.48598131,36.45291739,31.59652639,28.31578947,33.244916,39.23611111,38.69701727,38.89928866,38.50850414,33.85214008,37.85027185,40.8315565,40.35827187,38.95890411,37.65060241,35.57457213,39.71443681,46.28508531,43.42226311,43.02019315,39.90659056,38.89384478,37.34015345,39.79200876,39.83561644,36.87845304,40.04424779,37.13768116,35.70863025,37.92517007,35.340729,25.06493506,27.54303599,25.49595885,31.27906977,43.41463415,39.86928105,37.88343558,25.91093117,24.00662252,28.10996564,35.20933425,41.3027917,42.95628036,45.78096948,40.91392136,42.10090984,47.1620227,41.34529148,40.29335634,38.24289406,32.84132841,33.41040462,36.17021277
